,Classifier,Val-TX,Test1-TX,Test2-FL,Test3-FL
0,Dummy Classifier with Most-Frequent,54.07,23.47,21.98,4.89
1,Dummy Classifier with Stratified,38.66,28.96,25.56,23.7
2,Random Forest,62.5,40.84,32.19,19.39
3,GaussianProcess,56.4,32.97,28.22,14.32
4,3-NearestNeighbor,51.45,37.55,29.42,24.53
5,9-NearestNeighbor,57.85,37.42,28.61,22.99
