,Model,Test1-TX,Test2-FL,Test3-FL
0,"RandomForestClassifier(min_samples_split=10, random_state=0)","['0.80', '4.36', '0.00', '0.06']","['0.00', '5.80', '0.00', '2.28']","['0.00', '4.39', '0.00', '2.70']"
1,GaussianProcessClassifier(random_state=0),"['0.16', '2.00', '0.00', '3.86']","['0.00', '1.54', '0.47', '2.51']","['0.00', '0.10', '0.00', '7.32']"
2,KNeighborsClassifier(n_neighbors=3),"['0.38', '6.06', '0.00', '9.69']","['0.00', '4.98', '0.00', '8.54']","['0.00', '7.06', '0.00', '18.59']"
3,KNeighborsClassifier(n_neighbors=9),"['0.11', '5.67', '0.00', '4.42']","['0.00', '4.01', '0.00', '3.10']","['0.00', '5.91', '0.00', '12.19']"
